StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_q,att1,att2,combination1,combination1_DO,combination2,combination2_DO,combination3,combination3_DO,combination4,combination4_DO,combination5,combination5_DO,combination6,combination6_DO,pk_egal_1,sk_egal_1,ck_egal_1,pk_selfish_1,sk_selfish_1,ck_selfish_1,pk_alibi_1,sk_alibi_1,ck_alibi_1,comp1,comp2,FL_12_DO,FL_27_DO
1/12/23 12:55,1/12/23 12:57,0,100,127,1,1/12/23 12:57,R_2dEcWtFZuf19soE,anonymous,EN,1,2,2,3,1|3|2,,,,,,,,,,,12,18,22,81,80,62,91,93,93,1,3,page1.1,page3|page2|page4
1/12/23 12:57,1/12/23 12:57,0,100,32,1,1/12/23 12:57,R_10DB0y0zgJmpKtP,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/23 12:55,1/12/23 12:58,0,100,182,1,1/12/23 12:58,R_3Vmx3wwqabccS8V,anonymous,EN,1,2,2,,,2,3|2|1,,,,,,,,,0,0,0,75,75,75,75,75,75,1,2,page1.2,page4|page3|page2
1/12/23 12:56,1/12/23 12:58,0,100,110,1,1/12/23 12:58,R_1Ii5Gi874MPHU9Z,anonymous,EN,1,2,2,1,1|2|3,,,,,,,,,,,0,0,0,3,3,0,0,0,0,1,2,page1.1,page3|page2|page4
1/12/23 12:55,1/12/23 12:58,0,100,130,1,1/12/23 12:58,R_2SrzdH8AxLKArcC,anonymous,EN,1,2,2,,,,,,,3,1|3|2,,,,,0,0,0,90,90,80,90,90,85,1,2,page1.4,page2|page3|page4
1/12/23 12:56,1/12/23 12:58,0,100,130,1,1/12/23 12:58,R_DuEIiuOO6qTv9M5,anonymous,EN,1,2,2,,,,,,,,,,,3,3|2|1,9,10,9,11,10,12,9,10,10,1,3,page1.6,page2|page4|page3
1/12/23 12:56,1/12/23 12:58,0,100,97,1,1/12/23 12:58,R_2WwKiQn0thj1kDt,anonymous,EN,1,2,2,,,3,1|2|3,,,,,,,,,14,0,0,100,100,100,100,100,100,1,2,page1.2,page3|page4|page2
1/12/23 12:56,1/12/23 12:58,0,100,136,1,1/12/23 12:58,R_3032c2owG35IxPM,anonymous,EN,1,2,2,,,,,,,,,3,3|2|1,,,73,74,68,100,95,94,90,95,93,1,2,page1.5,page4|page3|page2
1/12/23 12:56,1/12/23 12:58,0,100,138,1,1/12/23 12:58,R_2UabCqxOmShXvHM,anonymous,EN,1,2,2,,,,,,,1,2|3|1,,,,,0,0,0,50,50,50,50,50,50,1,3,page1.4,page2|page3|page4
1/12/23 12:56,1/12/23 12:58,0,100,120,1,1/12/23 12:58,R_32Kr7dRzXXz9658,anonymous,EN,1,2,2,,,,,,,1,3|2|1,,,,,3,3,3,98,99,99,97,98,97,1,3,page1.4,page4|page2|page3
1/12/23 12:55,1/12/23 12:58,0,100,212,1,1/12/23 12:58,R_3dNflxXnYTgCwqc,anonymous,EN,1,2,2,,,,,,,,,1,2|3|1,,,75,74,81,71,78,74,77,77,83,1,2,page1.5,page3|page2|page4
1/12/23 12:56,1/12/23 12:58,0,100,154,1,1/12/23 12:58,R_1OB1Y3P0nJNs2ew,anonymous,EN,1,2,2,,,,,3,2|3|1,,,,,,,25,20,20,70,65,70,70,65,70,1,3,page1.3,page2|page4|page3
1/12/23 12:54,1/12/23 12:59,0,100,285,1,1/12/23 12:59,R_55NBKsKladzSVbj,anonymous,EN,1,2,2,,,,,,,,,,,3,3|2|1,40,10,5,30,20,15,35,20,15,1,2,page1.6,page3|page4|page2
1/12/23 12:56,1/12/23 12:59,0,100,201,1,1/12/23 12:59,R_2AKfsWfO3fHx5zG,anonymous,EN,1,2,2,,,3,1|2|3,,,,,,,,,25,25,25,85,80,90,75,75,75,1,3,page1.2,page2|page4|page3
1/12/23 12:57,1/12/23 12:59,0,100,118,1,1/12/23 12:59,R_xhNclKhtxVFTALn,anonymous,EN,1,2,2,,,,,3,3|2|1,,,,,,,37,38,40,68,64,67,71,70,65,1,2,page1.3,page3|page4|page2
1/12/23 12:55,1/12/23 12:59,0,100,239,1,1/12/23 12:59,R_eEy5M5NvW3vvMlj,anonymous,EN,1,2,2,,,3,2|1|3,,,,,,,,,38,33,36,58,48,57,60,68,64,1,2,page1.2,page4|page3|page2
1/12/23 12:52,1/12/23 13:00,0,100,453,1,1/12/23 13:00,R_efJ0QWyXtW4DKpP,anonymous,EN,1,2,2,2,1|3|2,,,,,,,,,,,62,64,62,65,78,56,62,67,72,1,2,page1.1,page4|page3|page2
1/12/23 12:56,1/12/23 13:00,0,100,244,1,1/12/23 13:00,R_2c8e4R9nHAobqBH,anonymous,EN,1,2,2,,,,,,,,,,,3,2|1|3,7,14,21,80,83,91,22,34,30,1,2,page1.6,page4|page2|page3
1/12/23 12:58,1/12/23 13:00,0,100,130,1,1/12/23 13:00,R_BLqEWtTYD2AwXo5,anonymous,EN,1,2,2,,,,,,,,,,,2,1|3|2,0,0,4,0,0,0,0,0,4,1,3,page1.6,page2|page3|page4
1/12/23 12:56,1/12/23 13:00,0,100,275,1,1/12/23 13:00,R_0vSvYgvvifl6kwN,anonymous,EN,1,2,2,3,1|2|3,,,,,,,,,,,37,15,29,64,77,62,65,78,65,1,2,page1.1,page4|page3|page2
1/12/23 12:53,1/12/23 13:01,0,100,464,1,1/12/23 13:01,R_QfUjF7yqueE4Pzr,anonymous,EN,1,2,2,1,2|3|1,,,,,,,,,,,61,41,50,21,20,50,65,20,25,2,3,page1.1,page4|page3|page2
1/12/23 12:57,1/12/23 13:01,0,100,264,1,1/12/23 13:01,R_vq5hBQDkxbNOv2F,anonymous,EN,1,2,2,,,,,,,,,1,3|1|2,,,40,30,30,60,50,50,50,50,50,1,2,page1.5,page3|page4|page2
1/12/23 12:52,1/12/23 13:02,0,100,606,1,1/12/23 13:02,R_7NBA0QZbc3lN2Y9,anonymous,EN,1,2,2,,,1,3|1|2,,,,,,,,,0,0,0,50,50,50,50,50,50,1,3,page1.2,page4|page3|page2
1/12/23 13:03,1/12/23 13:04,0,100,104,1,1/12/23 13:04,R_2S3mL8uvD8bMgz5,anonymous,EN,1,2,2,,,,,1,2|1|3,,,,,,,9,9,7,83,82,82,92,78,83,3,3,page1.3,page2|page3|page4
1/12/23 12:53,1/12/23 13:07,0,100,822,1,1/12/23 13:07,R_ZIYJ2AcKYT3ghTr,anonymous,EN,1,2,2,,,,,,,,,1,2|1|3,,,19,4,0,15,9,13,25,25,16,3,2,page1.5,page2|page3|page4
1/12/23 13:04,1/12/23 13:07,0,100,181,1,1/12/23 13:07,R_ZeHf67p7oB8J3mF,anonymous,EN,1,2,2,,,,,,,1,2|1|3,,,,,84,75,78,76,91,79,84,77,73,1,3,page1.4,page4|page2|page3
1/12/23 12:53,1/12/23 13:15,0,100,1294,1,1/12/23 13:15,R_3dQBJbR7qrWinZ2,anonymous,EN,1,2,2,1,1|2|3,,,,,,,,,,,35,20,25,70,56,61,60,50,55,1,2,page1.1,page4|page3|page2
1/12/23 12:55,1/12/23 13:01,0,88,369,0,1/19/23 13:01,R_3mdHEDsrzpqNN9C,anonymous,EN,1,2,2,,,,,,,1,1|2|3,,,,,38,29,38,83,60,58,68,64,68,,,page1.4,page3|page2|page4
1/24/23 15:13,1/24/23 15:15,0,100,105,1,1/24/23 15:15,R_1hA9FhzXG8tOQdq,anonymous,EN,1,2,2,1,3|2|1,,,,,,,,,,,72,73,70,91,98,100,0,31,41,1,3,page1.1,page4|page2|page3
1/24/23 15:23,1/24/23 15:27,0,100,233,1,1/24/23 15:27,R_3nxfmLXUVKn3fU7,anonymous,EN,1,2,2,,,1,2|1|3,,,,,,,,,10,10,10,80,80,81,90,90,100,1,2,page1.2,page3|page2|page4
1/24/23 15:44,1/24/23 15:48,0,100,254,1,1/24/23 15:48,R_3HB578uCFjILa8x,anonymous,EN,1,2,2,,,,,,,,,3,3|2|1,,,50,50,50,50,50,50,50,49,50,1,3,page1.5,page2|page4|page3
